ehdokasnumero,ehdokasnimi,ääniä,vaaliliitto,vaaliliiton id
52,"Leppänen, Iina",6,HELP EKY / YFK,16
54,"Meriläinen, Henrik",42,HELP EKY / YFK,16
55,"Mykkänen, Jarkko",10,HELP EKY / YFK,16
56,"Mäkelä, Anu",6,HELP EKY / YFK,16
59,"Rahkola, Mari",2,HELP EKY / YFK,16
60,"Rajasalmi, Saara",1,HELP EKY / YFK,16
64,"Hietanen, Perttu",30,HELP EKY / YFK,16
65,"Perkiö, Pekka",9,HELP EKY / YFK,16
66,"Söderman, André",10,HELP EKY / YFK,16
67,"Antonacci, Sara",17,HELP Pykälä,18
68,"Guidastri, Alberto",10,HELP Pykälä,18
69,"Heiskanen, Jesse",8,HELP Pykälä,18
70,"Hiltunen, Ella",4,HELP Pykälä,18
71,"Hjelt, Jere",8,HELP Pykälä,18
72,"Isola, Valtteri",2,HELP Pykälä,18
74,"Järvi, Katariina",13,HELP Pykälä,18
75,"Kumpula, Ilkka",2,HELP Pykälä,18
76,"Majewski, Lotta",15,HELP Pykälä,18
77,"Markkanen, Kalle",19,HELP Pykälä,18
78,"Piirainen, Sara",20,HELP Pykälä,18
79,"Raittila, Sinia",12,HELP Pykälä,18
80,"Reijonen, Sami",18,HELP Pykälä,18
81,"Sajakoski, Inka",3,HELP Pykälä,18
82,"Salminen, Ilmi",9,HELP Pykälä,18
83,"Saranpää, Jose",8,HELP Pykälä,18
84,"Sassi, Lotta",7,HELP Pykälä,18
85,"Sinisalo, Laura",16,HELP Pykälä,18
86,"Takalo, Tiia",18,HELP Pykälä,18
87,"Talvinko, Tuuli",42,HELP Pykälä,18
88,"Teittinen, Helinä",75,HELP Pykälä,18
89,"Tuominen, Tuomas",3,HELP Pykälä,18
90,"Vehviläinen, Jami",10,HELP Pykälä,18
91,"Vepsäläinen, Konsta",3,HELP Pykälä,18
92,"Viitanen, Salla",47,HELP Pykälä,18
93,"Annala, Iiris",22,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
94,"Auer, Irene",6,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
95,"Brunila, Tuukka",8,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
96,"Hallamaa, Tuomas",23,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
97,"Hanhijoki, Touko",17,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
98,"Heikkilä, Taavi",32,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
99,"Heiskanen, Pyry",2,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
100,"Hiltunen, Roote",1,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
101,"Hiltunen, Titta",51,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
102,"Hokkanen, Saana",50,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
103,"Holopainen, Markus",13,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
104,"Iso-Markku, Antti",10,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
105,"Juolahti, Minerva",5,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
106,"Kangas, Vilma",12,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
107,"Kari, Onni",15,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
108,"Karppinen, Aleksi",8,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
109,"Kaura, Amari",13,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
110,"Kemppainen, Deniz",45,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
111,"Kirvesmäki, Juho",20,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
112,"Koivistoinen, Maija",20,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
113,"Kola, Pauli",1,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
114,"Kolehmainen, Laura",46,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
116,"Kouhia, Ninette",20,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
117,"Kyllönen, Riku-Petteri",18,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
118,"Kärkkäinen, Jonna",12,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
119,"Lampuoti, Jarkko",8,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
120,"Lemström, Anna",48,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
121,"Leppä, Sophia 'Soffe'",9,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
122,"Lindblom, Sofia",11,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
123,"Lindholm, Jan",9,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
124,"Lindholm, Olli",11,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
125,"Lindqvist, Joel",42,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
126,"Linna, Lauri",57,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
127,"Louekari, Ville",4,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
128,"Mauranen, Angi",15,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
129,"Muilu, Jaakko",3,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
130,"Mustonen, Elmo",14,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
131,"Nieminen, Jeremi",1,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
132,"Nurmivaara, Sami",9,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
133,"Pajala, Vilma-Lotta",1,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
134,"Pakkasvirta, Elsa",10,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
135,"Parkkinen, Samuli",11,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
136,"Parkkinen, Tiina 'Poppis'",12,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
137,"von Pfaler, Cornelius",4,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
138,"von Pfaler, Lauri 'Pafu'",35,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
139,"Piikkilä, Mimmi",24,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
140,"Pulkkinen, Joonas",42,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
141,"Pönkä, Saila",19,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
142,"Rautila, Kanerva",9,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
143,"Rissanen, Jaakko",22,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
144,"Roikonen, Ida",10,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
145,"Routarinne, Veera",37,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
146,"Siika, Laura",12,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
147,"Suominen, Vihtori",24,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
148,"Tervonen, Aksu",7,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
149,"Uusinarkaus, Julius",33,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
150,"Vienola, Minna-Kerttu",15,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
151,"Voutilainen, Juhana",6,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
152,"Wallgren, Amos",19,Sitoutumaton vasemmisto - Obunden vänster - Independent Left,17
153,"Ahmad, Mian",70,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
154,"Alametsä, Alviina",38,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
155,"Diarra, Fatim",23,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
156,"Elolahti, Auli",45,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
157,"Favén, Milla",65,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
158,"Hannula, Anssi",6,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
159,"Harjunen, Arttu",9,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
160,"Heiskanen, Vladimir",16,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
161,"Holst, Alexander 'Alex'",5,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
162,"Hämäläinen, Ville",13,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
163,"Ilvonen, Elina",7,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
164,"Immonen, Johanna",4,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
165,"Kalliokoski, Henna",22,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
166,"Kankaanpää, Viljami",21,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
167,"Karvonen, Okko",15,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
168,"Kauppinen, Vera",16,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
169,"Kurki, Visa",5,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
170,"Kyrölainen, Anni",13,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
171,"Laitakari, Tiamo",3,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
172,"Louhimies, kukka",13,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
173,"Manninen, Petra",22,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
174,"Miettinen, Nina",34,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
175,"Myllärniemi, Joona",4,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
176,"Niemi, Tuukka",8,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
177,"Nummelin, Pilvi",22,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
178,"Pasanen, Amanda",139,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
179,"Pietiläinen, Katariina",1,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
180,"Reini, Ida",8,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
181,"Riipi, Paula",21,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
182,"Rokkanen, Susanna",3,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
183,"Rouvali, Roope",3,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
184,"Röynä, Jenni",7,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
185,"Saarela, Eppu",3,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
186,"Saarinen, Ada",42,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
187,"Salonen, Tuisku",4,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
188,"Sauru, Miro",41,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
189,"Silvennoinen, Minna",44,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
190,"Sivonen, Sameli",33,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
191,"Sveholm, Eevi",21,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
192,"Tarkhova, Daria",60,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
193,"Tenn, Selene",20,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
194,"Teperi, Kaisa",22,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
195,"Tähkävuori, Riikka",29,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
196,"Uusikangas, Silja",24,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
197,"Vehmassalo, Aleksi",28,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
198,"Wasara, Mikki",34,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
199,"Österman, Sebastian",72,HYY:n Vihreät - De Gröna vid HUS - Helsinki University Greens,19
200,"Chi, Louchin",30,Tsemppi,21
201,"Er, Safak",23,Tsemppi,21
202,"Mackie, Adam",22,Tsemppi,21
204,"Pallaoro, Joonas",4,Tsemppi,21
205,"Pietiläinen, Pihla",7,Tsemppi,21
206,"Romero, Alejandro",2,Tsemppi,21
207,"Shoket, Sahar Khan",2,Tsemppi,21
208,"Wei, Wei",6,Tsemppi,21
209,"Zatina, Beate",5,Tsemppi,21
210,"Andersson, Timo",4,Liberaalinen vaaliliitto - Valinnanvapauden ja yksilöllisyyden edistämiseksi,23
211,"Sjöström, Kiim",8,Liberaalinen vaaliliitto - Valinnanvapauden ja yksilöllisyyden edistämiseksi,23
212,"Ahva, Toni",36,Perussuomalainen vaaliliitto,22
213,"Kulmala, Roger",13,Perussuomalainen vaaliliitto,22
214,"Lahtinen, Teemu",11,Perussuomalainen vaaliliitto,22
215,"Ahlström, Sofia",4,Codex-Thorax,26
216,"Böling, Evalena",10,Codex-Thorax,26
217,"Cederlöf, Karin",94,Codex-Thorax,26
219,"Kuhlefelt, Alexandra",18,Codex-Thorax,26
220,"Lassila, Fanny",1,Codex-Thorax,26
221,"Lång, Karolina",7,Codex-Thorax,26
222,"Nyberg, Theodora ""Teddi""",15,Codex-Thorax,26
223,"Olander, Rasmus",82,Codex-Thorax,26
224,"Ollus, Robin",3,Codex-Thorax,26
225,"Westerholm, Anita",6,Codex-Thorax,26
226,"Ahlfors, Kia",2,StudOrg,27
227,"Backlund, Niklas",6,StudOrg,27
228,"Bergh, Claes",43,StudOrg,27
229,"Björkqvist, Anna",3,StudOrg,27
230,"Ekelund, Henrik",2,StudOrg,27
231,"Elmgren, Christa",4,StudOrg,27
232,"Haapalahti, Sara",1,StudOrg,27
233,"Lindroos, Stefanie",6,StudOrg,27
234,"Mickos, Daniel",25,StudOrg,27
235,"Mickos, Viola",7,StudOrg,27
236,"Nurmio, Axel",4,StudOrg,27
237,"Palin, Paula",4,StudOrg,27
238,"Perkonoja, Pauliina",7,StudOrg,27
239,"Rinne, Elsa",9,StudOrg,27
240,"Roos, Ariel",3,StudOrg,27
241,"Strömbäck, Emma",5,StudOrg,27
243,"Tikkanen, Lilian",9,StudOrg,27
244,"Yrjölä, Susanna ""Sussu""",7,StudOrg,27
245,"Ehnström, Emil",15,Nationerna,28
246,"Granqvist, Emilia",21,Nationerna,28
247,"Lindblom, Otto",19,Nationerna,28
248,"Lanu, Julia",8,Nationerna,28
249,"Karlsson, Jessica",11,Nationerna,28
250,"Skoglund, Jenny",3,Nationerna,28
251,"Sundholm, Emilia",7,Nationerna,28
252,"Koskela, Calle",13,Nationerna,28
253,"Aalto, Sofia",19,HYAL Humanistit,7
254,"Granström, Sampsa",74,HYAL Humanistit,7
255,"Grünthal, Lauri",53,HYAL Humanistit,7
256,"Hoffrén, Riitta",49,HYAL Humanistit,7
257,"Jussila, Aapo",14,HYAL Humanistit,7
258,"Järvi, Maikki",15,HYAL Humanistit,7
259,"Kajava, Juho",11,HYAL Humanistit,7
260,"Kalliokoski, Timo",12,HYAL Humanistit,7
261,"Konkola, Petteri",6,HYAL Humanistit,7
262,"Kärnä, Jane",42,HYAL Humanistit,7
263,"Leipakka, Laura",5,HYAL Humanistit,7
264,"Lindberg, Sebastian 'Basse'",54,HYAL Humanistit,7
265,"Paaskoski, Oili",19,HYAL Humanistit,7
266,"Pasanen, Piia 'Norppis'",22,HYAL Humanistit,7
267,"Pihlajamaa, Olli",16,HYAL Humanistit,7
268,"Savolainen, Jenna",10,HYAL Humanistit,7
269,"Schumilov, Emma",19,HYAL Humanistit,7
270,"Siljander, Saana",32,HYAL Humanistit,7
271,"Sorjonen, Jenna",20,HYAL Humanistit,7
272,"Thagapsov, Adam",23,HYAL Humanistit,7
273,"Zelenskaia, Julia",15,HYAL Humanistit,7
274,"Abdulhamed, Rekar",42,HYAL Käyttis,9
275,"De Pascale, Samuli",13,HYAL Käyttis,9
276,"Fernström, Pinja",42,HYAL Käyttis,9
277,"Jokimies, Susanna",17,HYAL Käyttis,9
278,"Laaksovirta, Eevi",14,HYAL Käyttis,9
279,"Lahdelma, Minja",42,HYAL Käyttis,9
280,"Laitila, Krista",41,HYAL Käyttis,9
281,"Lappalainen, Ilmari",31,HYAL Käyttis,9
282,"Mäki, Tommi",15,HYAL Käyttis,9
283,"Nieminen, Elina",72,HYAL Käyttis,9
284,"Nuckols, Wilson",15,HYAL Käyttis,9
285,"Nyyssönen, Sophie",29,HYAL Käyttis,9
286,"Piira, Viivi",26,HYAL Käyttis,9
287,"Raivonen, Peppi",7,HYAL Käyttis,9
288,"Rossinen, Eveliina",26,HYAL Käyttis,9
289,"Savisaari, Olli",46,HYAL Käyttis,9
290,"Silvasti, Katja",7,HYAL Käyttis,9
291,"Sjöberg, Tove",13,HYAL Käyttis,9
292,"Suorsa, Minna",29,HYAL Käyttis,9
293,"Tappura, Hanna",23,HYAL Käyttis,9
294,"Tuominen, Marika",32,HYAL Käyttis,9
295,"Vainio, Jouni",13,HYAL Käyttis,9
296,"Enqvist, Aleksi",2,HYAL Teologit,10
297,"Järvinen, Sara",32,HYAL Teologit,10
298,"Kaski, Kata",14,HYAL Teologit,10
299,"Koponen, Matias",90,HYAL Teologit,10
300,"Kuivalainen, Riki",15,HYAL Teologit,10
301,"Latvala, Saara",4,HYAL Teologit,10
302,"Lehonmaa, Ville",18,HYAL Teologit,10
303,"Lehtonen, Mikael",27,HYAL Teologit,10
304,"Leporanta, Miro",6,HYAL Teologit,10
305,"Lindroth, Arttu",24,HYAL Teologit,10
306,"Ranta, Susanna",1,HYAL Teologit,10
307,"Rantanen, Krista",19,HYAL Teologit,10
